sp	chrom	w	n	norm	theta
tropicalis	I	7340000	45	0.602627257799672	0.000602523930796488
tropicalis	I	7360000	51	0.604269293924466	0.000690904640013928
tropicalis	I	7380000	16	0.605911330049261	0.000219457141201162
tropicalis	I	7400000	39	0.607553366174056	0.00052218740669029
tropicalis	I	7420000	25	0.609195402298851	0.00033473551710916
tropicalis	I	7440000	36	0.610837438423645	0.00048201914463719
tropicalis	I	7460000	29	0.61247947454844	0.000388293199846626
tropicalis	I	7480000	54	0.614121510673235	0.000723028716955786
tropicalis	I	7500000	37	0.61576354679803	0.000495408565321557
tropicalis	I	7520000	36	0.617405582922824	0.00048201914463719
tropicalis	I	7540000	239	0.619047619047619	0.00320007154356357
tropicalis	I	7560000	465	0.620689655172414	0.00622608061823038
tropicalis	I	7580000	45	0.622331691297209	0.000602523930796488
tropicalis	I	7600000	29	0.623973727422003	0.000388293199846626
tropicalis	I	7620000	36	0.625615763546798	0.00048201914463719
tropicalis	I	7640000	27	0.627257799671593	0.000361514358477893
tropicalis	I	7660000	36	0.628899835796388	0.00048201914463719
tropicalis	I	7680000	31	0.630541871921182	0.000415072041215358
tropicalis	I	7700000	38	0.632183908045977	0.000508797986005923
tropicalis	I	7720000	82	0.633825944170772	0.00109793249611805
tropicalis	I	7740000	229	0.635467980295567	0.00306617733671991
tropicalis	I	7760000	40	0.637110016420361	0.000535576827374656
tropicalis	I	7780000	33	0.638752052545156	0.000441850882584091
tropicalis	I	7800000	50	0.640394088669951	0.00066947103421832
tropicalis	I	7820000	47	0.642036124794745	0.000629302772165221
tropicalis	I	7840000	43	0.64367816091954	0.000575745089427755
tropicalis	I	7860000	62	0.645320197044335	0.000830144082430717
tropicalis	I	7880000	37	0.64696223316913	0.000495408565321557
tropicalis	I	7900000	40	0.648604269293925	0.000535576827374656
tropicalis	I	7920000	45	0.650246305418719	0.000602523930796488
tropicalis	I	7940000	26	0.651888341543514	0.000348124937793526
tropicalis	I	7960000	35	0.653530377668309	0.000468629723952824
tropicalis	I	7980000	26	0.655172413793103	0.000348124937793526
tropicalis	I	8e+06	38	0.656814449917898	0.000508797986005923
tropicalis	I	8020000	83	0.658456486042693	0.00111132191680241
tropicalis	I	8040000	49	0.660098522167488	0.000656081613533954
tropicalis	I	8060000	41	0.661740558292282	0.000548966248059023
tropicalis	I	8080000	43	0.663382594417077	0.000575745089427755
tropicalis	I	8100000	40	0.665024630541872	0.000535576827374656
tropicalis	I	8120000	32	0.666666666666667	0.000428461461899725
tropicalis	I	8140000	28	0.668308702791461	0.000374903779162259
tropicalis	I	8160000	29	0.669950738916256	0.000388293199846626
tropicalis	I	8180000	68	0.671592775041051	0.000932692850104939
tropicalis	I	8200000	65	0.673234811165846	0.000880564737272653
tropicalis	I	8220000	162	0.67487684729064	0.00225141360184765
tropicalis	I	8240000	158	0.676518883415435	0.00219582314254277
tropicalis	I	8260000	35	0.67816091954023	0.000474150243146813
tropicalis	I	8280000	22	0.679802955665025	0.000294567255056061
tropicalis	I	8300000	51	0.681444991789819	0.000682860454902686
tropicalis	I	8320000	116	0.683087027914614	0.0015531727993865
tropicalis	I	8340000	59	0.684729064039409	0.000799281838447485
tropicalis	I	8360000	81	0.686371100164204	0.00108454307543368
tropicalis	I	8380000	54	0.688013136288998	0.000723028716955786
tropicalis	I	8400000	62	0.689655172413793	0.000830144082430717
tropicalis	I	8420000	108	0.691297208538588	0.00152209590383179
tropicalis	I	8440000	92	0.692939244663383	0.00126187856190668
tropicalis	I	8460000	31	0.694581280788177	0.000415072041215358
tropicalis	I	8480000	38	0.696223316912972	0.000508797986005923
tropicalis	I	8500000	45	0.697865353037767	0.000602523930796488
tropicalis	I	8520000	63	0.699507389162562	0.000843533503115083
tropicalis	I	8540000	121	0.701149425287356	0.00162011990280833
tropicalis	I	8560000	50	0.702791461412151	0.00066947103421832
tropicalis	I	8580000	39	0.704433497536946	0.00052218740669029
tropicalis	I	8600000	40	0.706075533661741	0.000535576827374656
tropicalis	I	8620000	48	0.707717569786535	0.000642692192849587
tropicalis	I	8640000	54	0.70935960591133	0.000723028716955786
tropicalis	I	8660000	35	0.711001642036125	0.000468629723952824
tropicalis	I	8680000	88	0.71264367816092	0.00117826902022424
tropicalis	I	8700000	49	0.714285714285714	0.000656081613533954
tropicalis	I	8720000	189	0.715927750410509	0.00256041131299279
tropicalis	I	8740000	102	0.717569786535304	0.00136572090980537
tropicalis	I	8760000	36	0.719211822660099	0.00048201914463719
tropicalis	I	8780000	68	0.720853858784893	0.000910480606536915
tropicalis	I	8800000	45	0.722495894909688	0.000602523930796488
tropicalis	I	8820000	78	0.724137931034483	0.00104437481338058
tropicalis	I	8840000	57	0.725779967159278	0.000763196979008885
tropicalis	I	8860000	116	0.727422003284072	0.00157146937728658
tropicalis	I	8880000	45	0.729064039408867	0.000602523930796488
tropicalis	I	8900000	32	0.730706075533662	0.000428461461899725
tropicalis	I	8920000	127	0.732348111658457	0.00174194105828422
